HEADER-DHCPOPTION,STATUS,OBJECTTYPE,OBJECT,OPTIONSPACE,OPTIONCODE,OPTIONVALUE
HEADER-DHCPNETWORK,STATUS,OBJECT
DHCPNETWORK,INCOMPATIBLE,142.59.147.228/32
DHCPNETWORK,INCOMPATIBLE,110.142.171.224/32
DHCPNETWORK,INCOMPATIBLE,59.167.186.217/32
DHCPNETWORK,INCOMPATIBLE,202.7.64.233/32
DHCPNETWORK,INCOMPATIBLE,210.23.148.202/32
DHCPNETWORK,INCOMPATIBLE,218.106.88.66/32
DHCPNETWORK,INCOMPATIBLE,58.71.154.124/32
DHCPNETWORK,INCOMPATIBLE,202.149.101.35/32
DHCPNETWORK,INCOMPATIBLE,203.36.118.98/32
DHCPNETWORK,INCOMPATIBLE,203.39.111.218/32
DHCPNETWORK,INCOMPATIBLE,200.138.198.18/32
DHCPNETWORK,INCOMPATIBLE,189.115.178.226/32
DHCPNETWORK,INCOMPATIBLE,208.85.113.250/32
DHCPNETWORK,INCOMPATIBLE,58.246.167.38/32
DHCPNETWORK,INCOMPATIBLE,58.211.252.115/32
DHCPNETWORK,INCOMPATIBLE,116.228.36.90/32
DHCPNETWORK,INCOMPATIBLE,222.66.165.58/32
DHCPNETWORK,INCOMPATIBLE,217.6.141.85/32
DHCPNETWORK,INCOMPATIBLE,223.202.255.52/32
DHCPNETWORK,INCOMPATIBLE,118.97.58.202/32
DHCPNETWORK,INCOMPATIBLE,202.162.214.202/32
DHCPNETWORK,INCOMPATIBLE,201.134.135.194/32
DHCPNETWORK,INCOMPATIBLE,212.156.155.86/32
DHCPNETWORK,INCOMPATIBLE,87.243.204.153/32
DHCPNETWORK,INCOMPATIBLE,74.95.151.1/32
DHCPNETWORK,INCOMPATIBLE,79.106.5.28/32
DHCPNETWORK,INCOMPATIBLE,81.52.167.46/32
DHCPNETWORK,INCOMPATIBLE,41.210.120.3/32
DHCPNETWORK,INCOMPATIBLE,81.244.248.172/32
DHCPNETWORK,INCOMPATIBLE,82.127.103.186/32
DHCPNETWORK,INCOMPATIBLE,194.2.64.213/32
DHCPNETWORK,INCOMPATIBLE,217.128.69.119/32
DHCPNETWORK,INCOMPATIBLE,193.251.0.6/32
DHCPNETWORK,INCOMPATIBLE,217.128.177.98/32
