address*;netmask*;description;comment;source_lease_activity;dest_lease_activity;dhcp_members;active;static;network_view;dest_dhcp_members;IPAM_Data_Source;dest_network_view
10.7.44.0;255.255.254.0;10.7.44.0/23;Location Network;yes;;wa2-ddi-003.patec.group,bng-ddi-000.patec.group;16;;default;;;
10.10.128.0;255.255.254.0;10.10.128.0/23;Location Network Wee2;yes;;bng-ddi-000.patec.group,wa2-ddi-003.patec.group;9;;default;;;
10.10.148.0;255.255.252.0;10.10.148.0/22;Office;no;;wa2-ddi-003.patec.group,bng-ddi-000.patec.group;;;default;;;
10.10.152.32;255.255.255.240;10.10.152.32/28;SCCM Test network Weert;no;;bng-ddi-000.patec.group,wa2-ddi-003.patec.group;;;default;;;
10.10.176.0;255.255.252.0;10.10.176.0/22;Management-All components;yes;;bng-ddi-000.patec.group,wa2-ddi-003.patec.group;183;;default;;;
10.10.180.64;255.255.255.192;10.10.180.64/26;DECT-TC-SPN;no;;bng-ddi-000.patec.group,wa2-ddi-003.patec.group;;;default;;;
10.10.232.0;255.255.254.0;10.10.232.0/23;Krefeld;no;;bng-ddi-000.patec.group,wa2-ddi-003.patec.group;;;default;;;
10.21.236.0;255.255.252.0;10.21.236.0/22;BR_Alv_Alphaville_PATec;yes;;wa2-ddi-003.patec.group,dcr-ddi-000.patec.group;72;;default;;;
10.22.70.0;255.255.255.0;10.22.70.0/24;VLAN 160 Bau 202c UG Telemedizin;no;;wa2-ddi-003.patec.group,bng-ddi-000.patec.group;;;default;;;
10.22.72.0;255.255.252.0;10.22.72.0/22;DE_Wa2_Waiblingen;yes;;wa2-ddi-003.patec.group,bng-ddi-000.patec.group;245;;default;;;
10.22.76.0;255.255.252.0;10.22.76.0/22;DE_Wa2_Waiblingen;yes;;wa2-ddi-003.patec.group,bng-ddi-000.patec.group;256;;default;;;
10.22.80.0;255.255.240.0;10.22.80.0/20;DE_Wa2_Waiblingen;yes;;bng-ddi-000.patec.group,wa2-ddi-003.patec.group;225;;default;;;
10.22.96.0;255.255.240.0;10.22.96.0/20;Office_1;yes;;cr-ddi-000.patec.group,wa2-ddi-003.patec.group;413;;default;;;
10.22.112.0;255.255.252.0;10.22.112.0/22;WLAN-Clients;yes;;cr-ddi-000.patec.group,wa2-ddi-003.patec.group;395;;default;;;
10.22.116.0;255.255.252.0;10.22.116.0/22;Office_2;yes;;wa2-ddi-003.patec.group,cr-ddi-000.patec.group;339;;default;;;
10.22.120.0;255.255.255.0;10.22.120.0/24;DE_Cr_Crailsheim_ZLT (does not exist???);no;;wa2-ddi-003.patec.group,cr-ddi-000.patec.group;;;default;;;
10.22.121.0;255.255.255.0;10.22.121.0/24;DE_Cr_Crailsheim_secure_LAN_Montage;no;;cr-ddi-000.patec.group,wa2-ddi-003.patec.group;;;default;;;
10.22.122.128;255.255.255.192;10.22.122.128/26;Gelbes LAN Labor;no;;wa2-ddi-003.patec.group,cr-ddi-000.patec.group;;;default;; ;
10.22.122.224;255.255.255.224;10.22.122.224/27;WLAN-FatCAM;no;;wa2-ddi-003.patec.group,cr-ddi-000.patec.group;;;default;;;
10.22.123.0;255.255.255.0;10.22.123.0/24;DE_Cr_Crailsheim_other;no;;wa2-ddi-003.patec.group,cr-ddi-000.patec.group;;;default;;;
10.22.228.192;255.255.255.192;10.22.228.192/26;Avaya;no;;wa2-ddi-003.patec.group,bng-ddi-000.patec.group;;;default;;;
10.22.230.0;255.255.255.128;10.22.230.0/25;VDI-Intern;yes;;wa2-ddi-003.patec.group,bng-ddi-000.patec.group;114;;default;;;
10.22.230.128;255.255.255.128;10.22.230.128/25;VDI-Extern;yes;;bng-ddi-000.patec.group,wa2-ddi-003.patec.group;37;;default;;;
10.22.240.0;255.255.248.0;10.22.240.0/21;Wa2 esz-msw;yes;;bng-ddi-000.patec.group,wa2-ddi-003.patec.group;803;;default;;;
10.25.36.0;255.255.252.0;10.25.36.0/22;US_Mip_Minneapolis_MN_Users_PA;yes;;wa2-ddi-003.patec.group,dcr-ddi-000.patec.group;81;;default;;;
10.26.28.128;255.255.255.224;10.26.28.128/27;Management;no;;dcr-ddi-000.patec.group,wa2-ddi-003.patec.group;;;default;;;
